id,name,accession
895,Zfp697,MGI:2139736
896,Csdc2,MGI:2146027
897,Jazf1,MGI:2141450
898,AI854703,MGI:2141510
899,Aip,MGI:109622
900,Aire,MGI:1338803
901,Akap8,MGI:1928488
902,Akap8l,MGI:1860606
903,Ammecr1,MGI:1860206
904,Ank1,MGI:88024
905,Ank2,MGI:88025
906,Ankra2,MGI:1915808
907,Ankrd22,MGI:1277101
908,Ankrd25,Ankrd25
909,Ankrd5,MGI:2441685
910,Ar,MGI:88064
911,Arhgap17,MGI:1917747
912,Arid3a,MGI:1328360
913,Ankrd52,MGI:2444029
914,Hinfp,MGI:2429620
915,Aatf,MGI:1929608
916,Asb10,MGI:2152836
917,Asb11,MGI:1916104
918,Asb12,MGI:1917642
919,Asb15,MGI:1926160
920,Asb3,MGI:1929749
921,Asb5,MGI:1923544
922,Asb6,MGI:1919573
923,Asb8,MGI:1925791
924,Asb9,MGI:1916549
925,Ascl2,MGI:96920
926,Asz1,MGI:1921318
927,Atf2,MGI:109349
928,Atf5,MGI:2141857
929,Ciao1,MGI:1346998
930,B3gat3,MGI:1919977
931,Bach1,MGI:894680
932,Barx2,MGI:109617
933,Batf,MGI:1859147
934,Bbx,MGI:1917758
935,Zfp958,MGI:2385298
936,Zfp810,MGI:2384563
937,BC024139,MGI:2442591
938,Zfp768,MGI:2384582
939,Zfp668,MGI:2442943
940,Bcl6,MGI:107187
941,Arnt,MGI:88071
942,Arntl,MGI:1096381
943,Arx,MGI:1097716
944,Bmyc,MGI:88184
945,Bnc1,MGI:1097164
946,Bpnt1,MGI:1338800
947,Brd8,MGI:1925906
948,Brpf1,MGI:1926033
949,Btbd4,Btbd4
950,Klf9,MGI:1333856
951,Btg2,MGI:108384
952,Ciita,MGI:108445
953,Camk4,MGI:88258
954,Carf,MGI:2182269
955,Carhsp1,MGI:1196368
956,Cbx2,MGI:88289
957,Ccnc,MGI:1858199
958,Ccnt2,MGI:1920199
959,Cdk2,MGI:104772
960,Cdkn2a,MGI:104738
961,Cdkn2b,MGI:104737
962,Cdkn2d,MGI:105387
963,Cebpa,MGI:99480
964,Cebpd,MGI:103573
965,Cebpe,MGI:103572
966,Cebpg,MGI:104982
967,Cebpz,MGI:109386
968,Cecr6,MGI:2136977
969,Bcl6b,MGI:1278332
970,Bcor,MGI:1918708
971,Bhlhe40,MGI:1097714
972,Chgb,MGI:88395
973,Vsx2,MGI:88401
974,Cic,MGI:1918972
975,Ercc8,MGI:1919241
976,Hexim1,MGI:2385923
977,Cml3,MGI:2136449
978,Cnot4,MGI:1859026
979,Cnot7,MGI:1298230
980,Cnot8,MGI:1916375
981,Cops2,MGI:1330276
982,Cops5,MGI:1349415
983,Creb1,MGI:88494
984,Creb3,MGI:99946
985,Creb3l1,MGI:1347062
986,Creb3l3,MGI:2384786
987,Creb5,MGI:2443973
988,Atf6b,MGI:105121
989,Med17,MGI:2182585
990,Med26,MGI:1917875
991,Crx,MGI:1194883
992,Csen,Csen
993,Ctcf,MGI:109447
994,Zfp410,MGI:1289280
995,Mier3,MGI:2442317
996,Ankzf1,MGI:1098746
997,Acap3,MGI:2153589
998,Chd4,MGI:1344380
999,Foxn3,MGI:1918625
1000,Cotl1,MGI:1919292
1001,Deaf1,MGI:1858496
1002,Dedd,MGI:1333874
1003,Depdc1b,MGI:2145425
1004,Depdc5,MGI:2141101
1005,Dlx4,MGI:94904
1006,Dmap1,MGI:1913483
1007,Dmrt1,MGI:1354733
1008,Dnmt3a,MGI:1261827
1009,Dpf3,MGI:1917377
1010,Dr1,MGI:1100515
1011,Tsc22d3,MGI:1196284
1012,E4f1,MGI:109530
1013,Edf1,MGI:1891227
1014,Egr2,MGI:95296
1015,Egr3,MGI:1306780
1016,Egr4,MGI:99252
1017,Ehf,MGI:1270840
1018,Elf1,MGI:107180
1019,Elf2,MGI:1916507
1020,Elf3,MGI:1101781
1021,Elf4,MGI:1928377
1022,Elk1,MGI:101833
1023,Ell,MGI:109377
1024,Emx2,MGI:95388
1025,Zfp828,MGI:1196398
1026,Daxx,MGI:1197015
1027,Dazap2,MGI:1344344
1028,Ddit3,MGI:109247
1029,Ercc3,MGI:95414
1030,Esr1,MGI:1352467
1031,Esr2,MGI:109392
1032,Esrra,MGI:1346831
1033,Esrrb,MGI:1346832
1034,Etv1,MGI:99254
1035,Etv3,MGI:1350926
1036,Etv6,MGI:109336
1037,Evx2,MGI:95462
1038,Eya2,MGI:109341
1039,Ezh1,MGI:1097695
1040,Fah,MGI:95482
1041,Fank1,MGI:1914180
1042,Fem1a,MGI:1335089
1043,Fem1b,MGI:1335087
1044,Fem1c,MGI:2444737
1045,Fhl5,MGI:1913192
1046,Foxs1,MGI:95546
1047,Fos,MGI:95574
1048,Foxa3,MGI:1347477
1049,Foxb1,MGI:1927549
1050,Foxf2,MGI:1347479
1051,Foxi1,MGI:1096329
1052,Eomes,MGI:1201683
1053,Ercc2,MGI:95413
1054,Foxo1,MGI:1890077
1055,Foxo3,MGI:1890081
1056,Foxp2,MGI:2148705
1057,Foxp3,MGI:1891436
1058,Foxq1,MGI:1298228
1059,Fubp1,MGI:1196294
1060,Gabpa,MGI:95610
1061,Gata1,MGI:95661
1062,Gata2,MGI:95662
1063,Gata3,MGI:95663
1064,Gata5,MGI:109497
1065,Gata6,MGI:107516
1066,Ankrd49,MGI:1930842
1067,Gcdh,MGI:104541
1068,Gmcl1,MGI:1345156
1069,Gcm1,MGI:108045
1070,Gcm2,MGI:1861438
1071,Kat2a,MGI:1343101
1072,Gfi1,MGI:103170
1073,Gfi1b,MGI:1276578
1074,Glis2,MGI:1932535
1075,Gls2,MGI:2143539
1076,Rexo4,MGI:2684957
1077,Foxj1,MGI:1347474
1078,Foxj2,MGI:1926805
1079,Foxk1,MGI:1347488
1080,Foxn2,MGI:1347478
1081,Gtf2b,MGI:2385191
1082,Gtf2e1,MGI:1921447
1083,Gtf2e2,MGI:1915403
1084,Gtf2f2,MGI:1915955
1085,Gtf2h1,MGI:1277216
1086,Gtf2h2,MGI:1345669
1087,Gtf2h3,MGI:1277143
1088,Gtf2h4,MGI:1338799
1089,Gtf2i,MGI:1202722
1090,Gtf2ird1,MGI:1861942
1091,Gtf3c1,MGI:107887
1092,Gtf3c4,MGI:2138937
1093,Hand1,MGI:103577
1094,Hbp1,MGI:894659
1095,Hcls1,MGI:104568
1096,Sap30bp,MGI:1927479
1097,Hdac10,MGI:2158340
1098,Hdac11,MGI:2385252
1099,Hdac5,MGI:1333784
1100,Hdac6,MGI:1333752
1101,Hdac7,MGI:1891835
1102,Hes6,MGI:1859852
1103,Hey1,MGI:1341800
1104,Hhex,MGI:96086
1105,Gmeb1,MGI:2135604
1106,Gtf2a1,MGI:1933277
1107,Gtf2a1l,MGI:1919078
1108,Gtf2a2,MGI:1933289
1109,Hmg20a,MGI:1914117
1110,Hoxa4,MGI:96176
1111,Hoxc9,MGI:96199
1112,Htatip2,MGI:1859271
1113,Ifi204,MGI:96429
1114,Ildr1,MGI:2146574
1115,Ivns1abp,MGI:2152389
1116,Kdm5a,MGI:2136980
1117,Kdm5c,MGI:99781
1118,Kdm4b,MGI:2442355
1119,Kdm4c,MGI:1924054
1120,Jmy,MGI:1913096
1121,Jrk,MGI:106214
1122,Kcnh7,MGI:2159566
1123,Keap1,MGI:1858732
1124,Kin,MGI:96676
1125,Klf1,MGI:1342771
1126,Klf15,MGI:1929988
1127,Klf16,MGI:2153049
1128,Klf3,MGI:1342773
1129,Klf4,MGI:1342287
1130,Klf5,MGI:1338056
1131,Klf7,MGI:1935151
1132,Klf8,MGI:2442430
1133,Hif1a,MGI:106918
1134,Hils1,MGI:2136691
1135,Hivep1,MGI:96100
1136,Hlx,MGI:96109
1137,Lef1,MGI:96770
1138,Lhx1,MGI:99783
1139,Lhx5,MGI:107792
1140,Limd1,MGI:1352502
1141,Lmo1,MGI:102812
1142,Lmo3,MGI:102810
1143,Lrrc6,MGI:1859553
1144,Lsm11,MGI:1919540
1145,Mxd1,MGI:96908
1146,Mxd4,MGI:104991
1147,Smad5,MGI:1328787
1148,Smad6,MGI:1336883
1149,Mafk,MGI:99951
1150,Maml1,MGI:1890504
1151,Map3k12,MGI:1346881
1152,Mapk1,MGI:1346858
1153,Mapk8,MGI:1346861
1154,Mbd2,MGI:1333813
1155,Mbd3l1,MGI:1920753
1156,Mef2a,MGI:99532
1157,Mef2c,MGI:99458
1158,Lass2,MGI:1924143
1159,Lass4,MGI:1914510
1160,Lass5,MGI:1919199
1161,Lass6,MGI:2442564
1162,Mnat1,MGI:106207
1163,Msl3,MGI:1341851
1164,Mtf1,MGI:101786
1165,Mxi1,MGI:97245
1166,Myb,MGI:97249
1167,Myc,MGI:97250
1168,Mycbp,MGI:1891750
1169,Mycs,MGI:1332242
1170,Myef2,MGI:104592
1171,Myf5,MGI:97252
1172,Myf6,MGI:97253
1173,Mynn,MGI:1931415
1174,Myocd,MGI:2137495
1175,Myog,MGI:97276
1176,Myst4,MGI:1858746
1177,Nab1,MGI:107564
1178,Nab2,MGI:107563
1179,Naca,MGI:106095
1180,Ncoa3,MGI:1276535
1181,Neurod1,MGI:1339708
1182,Neurod2,MGI:107755
1183,Neurod4,MGI:108055
1184,Neurog3,MGI:893591
1185,Nfatc2ip,MGI:1329015
1186,Mef2d,MGI:99533
1187,Meox1,MGI:103220
1188,Bhlha15,MGI:891976
1189,Mitf,MGI:104554
1190,Nfkb2,MGI:1099800
1191,Nfkbie,MGI:1194908
1192,Nfkbil1,MGI:1340031
1193,Nfkbiz,MGI:1931595
1194,Nfx1,MGI:1921414
1195,Nfyb,MGI:97317
1196,Nkx2-3,MGI:97348
1197,Nkx3-1,MGI:97352
1198,Notch1,MGI:97363
1199,Npas1,MGI:109205
1200,Nptxr,MGI:1920590
1201,Nr0b2,MGI:1346344
1202,Nr1d1,MGI:2444210
1203,Nr1d2,MGI:2449205
1204,Nr1h2,MGI:1352463
1205,Nr1h3,MGI:1352462
1206,Nr1i2,MGI:1337040
1207,Nr1i3,MGI:1346307
1208,Nr2c1,MGI:1352465
1209,Nr2e3,MGI:1346317
1210,Nr2f2,MGI:1352452
1211,Nr3c1,MGI:95824
1212,Nr4a1,MGI:1352454
1213,Nr5a1,MGI:1346833
1214,Nfe2l1,MGI:99421
1215,Nfe2l2,MGI:108420
1216,Nfia,MGI:108056
1217,Nfic,MGI:109591
1218,Nudt12,MGI:1915243
1219,Obox3,MGI:2149032
1220,Sebox,MGI:108012
1221,Olig1,MGI:1355334
1222,Onecut1,MGI:1196423
1223,Orc2,MGI:1328306
1224,ORF63,MGI:2446584
1225,Osr2,MGI:1930813
1226,Ostf1,MGI:700012
1227,Otx2,MGI:97451
1228,Dmbx1,MGI:2153518
1229,Ovol1,MGI:1330290
1230,Papola,MGI:109301
1231,Pawr,MGI:2149961
1232,Pax5,MGI:97489
1233,Pbx3,MGI:97496
1234,Pbx4,MGI:1931321
1235,Pbxip1,MGI:2441670
1236,Kat2b,MGI:1343094
1237,Pcbd1,MGI:94873
1238,Med15,MGI:2137379
1239,Pcsk4,MGI:97514
1240,Pdcd11,MGI:1341788
1241,Pdcd7,MGI:1859170
1242,LOC50777,LOC50777
1243,Nrf1,MGI:1332235
1244,Nrl,MGI:102567
1245,Nsbp1,Nsbp1
1246,Phf7,MGI:1919088
1247,Pias4,MGI:2136940
1248,Pogk,MGI:1918842
1249,Ppp1r12c,MGI:1924258
1250,Ppp1r13b,MGI:1336199
1251,Prrxl1,MGI:2148204
1252,Psmd10,MGI:1858898
1253,Psmd9,MGI:1914401
1254,Rhox6,MGI:1202888
1255,Ptges2,MGI:1917592
1256,Ptrf,MGI:1277968
1257,Rab1,MGI:97842
1258,Rab11a,MGI:1858202
1259,Rab11b,MGI:99425
1260,Rab15,MGI:1916865
1261,Rab2a,MGI:1928750
1262,Rab7,MGI:105068
1263,Rab8a,MGI:96960
1264,Rabl3,MGI:1914907
1265,Rai14,MGI:1922896
1266,Rarg,MGI:97858
1267,Rax,MGI:109632
1268,Rb1,MGI:97874
1269,Rbbp4,MGI:1194912
1270,Per3,MGI:1277134
1271,Pfdn1,MGI:1914449
1272,Phf10,MGI:1919307
1273,Phf17,MGI:1925835
1274,Rel,MGI:97897
1275,Rela,MGI:103290
1276,Relb,MGI:103289
1277,Rem2,MGI:2155260
1278,Rfx1,MGI:105982
1279,Rfx2,MGI:106583
1280,Rfx3,MGI:106582
1281,Rfx5,MGI:1858421
1282,Rfxank,MGI:1333865
1283,Rfx6,MGI:2445208
1284,Ring1,MGI:1101770
1285,Ripk4,MGI:1919638
1286,Pcgf2,MGI:99161
1287,Rlim,MGI:1342291
1288,Rnf14,MGI:1929668
1289,Rnf141,MGI:1914400
1290,Rnf4,MGI:1201691
1291,Rbm39,MGI:2157953
1292,Rorb,MGI:1343464
1293,Rorc,MGI:104856
1294,Polr1b,MGI:108014
1295,Polr1a,MGI:1096397
1296,Rps6ka4,MGI:1930076
1297,Runx1,MGI:99852
1298,Rbbp7,MGI:1194910
1299,Rbl1,MGI:103300
1300,Rbl2,MGI:105085
1301,Rbpjl,MGI:1196616
1302,Satb1,MGI:105084
1303,Scap,MGI:2135958
1304,Sec14l2,MGI:1915065
1305,Sertad2,MGI:1931026
1306,Sfpi1,MGI:98282
1307,Sfrp4,MGI:892010
1308,Siah2,MGI:108062
1309,Sin3b,MGI:107158
1310,Sirt1,MGI:2135607
1311,Sirt2,MGI:1927664
1312,Sirt3,MGI:1927665
1313,Sirt5,MGI:1915596
1314,Sirt6,MGI:1354161
1315,Sirt7,MGI:2385849
1316,Six6,MGI:1341840
1317,Smarca1,MGI:1935127
1318,Hltf,MGI:1196437
1319,Smarcb1,MGI:1328366
1320,Smyd1,MGI:104790
1321,Snai3,MGI:1353563
1322,Snapc2,MGI:1914861
1323,Snapc4,MGI:2443935
1324,Sox15,MGI:98363
1325,Sox17,MGI:107543
1326,Rxra,MGI:98214
1327,Rxrb,MGI:98215
1328,Rybp,MGI:1929059
1329,Sart1,MGI:1309453
1330,Sp2,MGI:1926162
1331,Sp3,MGI:1277166
1332,Sp4,MGI:107595
1333,Sp5,MGI:1927715
1334,Spdef,MGI:1353422
1335,Spic,MGI:1341168
1336,Srebf1,MGI:107606
1337,Ss18l1,MGI:2444061
1338,Ssbp3,MGI:1919725
1339,Ssrp1,MGI:107912
1340,St18,MGI:2446700
1341,Stat1,MGI:103063
1342,Stat2,MGI:103039
1343,Stat3,MGI:103038
1344,Stat4,MGI:103062
1345,Stat5a,MGI:103036
1346,Stat5b,MGI:103035
1347,Zfp280b,MGI:1927865
1348,Supt3h,MGI:1923723
1349,Supt4h1,MGI:107416
1350,Supt5h,MGI:1202400
1351,Med21,MGI:1347064
1352,Tacc3,MGI:1341163
1353,Tada2a,MGI:2144471
1354,Sox18,MGI:103559
1355,Sox7,MGI:98369
1356,Sox8,MGI:98370
1357,Sp100,MGI:109561
1358,Taf3,MGI:2388097
1359,Taf5,MGI:2442144
1360,Taf5l,MGI:1919039
1361,Taf6,MGI:109129
1362,Taf6l,MGI:2444957
1363,Taf7,MGI:1346348
1364,Tal1,MGI:98480
1365,Tal2,MGI:99540
1366,Tbl1xr1,MGI:2441730
1367,Tbpl1,MGI:1339946
1368,Tbx19,MGI:1891158
1369,Tbx20,MGI:1888496
1370,Tbx21,MGI:1888984
1371,Tbx22,MGI:2389465
1372,Tcea1,MGI:1196624
1373,Tceal1,MGI:2385317
1374,Tceb3,MGI:1351315
1375,Tcerg1,MGI:1926421
1376,Hnf1a,MGI:98504
1377,Hnf1b,MGI:98505
1378,Tcf23,MGI:1934960
1379,Tcf4,MGI:98506
1380,Tfap2c,MGI:106032
1381,Tfap2d,MGI:2153466
1382,Tada3,MGI:1915724
1383,Taf10,MGI:1346320
1384,Taf11,MGI:1916026
1385,Taf13,MGI:1913500
1386,Tfec,MGI:1333760
1387,Vps72,MGI:1202305
1388,Tead1,MGI:101876
1389,Tead4,MGI:106907
1390,Tef,MGI:98663
1391,Tert,MGI:1202709
1392,Tfdp1,MGI:101934
1393,Tgfb1i1,MGI:102784
1394,Tgif2lx1,MGI:2387796
1395,Th1l,MGI:1926424
1396,Thra,MGI:98742
1397,Med24,MGI:1344385
1398,Klf10,MGI:1101353
1399,Klf11,MGI:2653368
1400,Tigd5,MGI:2145902
1401,Tlx3,MGI:1351209
1402,Tnfaip3,MGI:1196377
1403,Tox3,MGI:3039593
1404,Trerf1,MGI:2442086
1405,Trib3,MGI:1345675
1406,Trim30a,MGI:98178
1407,Trip4,MGI:1928469
1408,Tfap4,MGI:103239
1409,Tfcp2,MGI:98509
1410,Tfe3,MGI:98511
1411,Tfeb,MGI:103270
1412,Trpv4,MGI:1926945
1413,Trpv6,MGI:1927259
1414,Zbtb5,MGI:1924601
1415,Sf1,MGI:1095403
1416,Zfp207,MGI:1340045
1417,Zfp238,MGI:1353609
1418,Zfp27,MGI:99174
1419,Zfp286,MGI:2384758
1420,Zfp287,MGI:2176561
1421,Zfp295,MGI:1927240
1422,Zfp296,MGI:1926956
1423,Zbtb22,MGI:1931870
1424,Zbtb43,MGI:1919084
1425,Zfp30,MGI:99178
1426,Zkscan3,MGI:1919989
1427,Zscan20,MGI:2679268
1428,Fezf2,MGI:1859823
1429,Zfp319,MGI:1890618
1430,Zfp612,MGI:2443465
1431,Zfp62,MGI:99662
1432,Zfp7,MGI:99208
1433,Zscan12,MGI:1099444
1434,Mzf1,MGI:107457
1435,Zkscan14,MGI:1914485
1436,Trpc3,MGI:109526
1437,Trpc4,MGI:109525
1438,Trpc7,MGI:1349470
1439,Trpv2,MGI:1341836
1440,Zfy1,MGI:99212
1441,Zfy2,MGI:99213
1442,Zhx2,MGI:2683087
1443,Zhx3,MGI:2444772
1444,Zmynd11,MGI:1913755
1445,Znrd1,MGI:1913386
1446,Zswim4,MGI:2443726
1447,Ddb2,MGI:1355314
1448,Mll5,MGI:1924825
1449,Tnni3k,MGI:2443276
1450,Trim24,MGI:109275
1451,Trp53bp1,MGI:1351320
1452,Zmym2,MGI:1923257
1453,Osgin1,MGI:1919089
1454,Cir1,MGI:1914185
1455,Asb2,MGI:1929743
1456,Ascl3,MGI:1928820
1457,Gpank1,MGI:2148975
1458,Cbx7,MGI:1196439
1459,Dlx6,MGI:101927
1460,Rhox4b,MGI:1930129
1461,Emx1,MGI:95387
1462,Esrrg,MGI:1347056
1463,Etv2,MGI:99253
1464,Zfpm2,MGI:1334444
1465,Ikzf1,MGI:1342540
1466,Ikzf2,MGI:1342541
1467,Ikzf4,MGI:1343139
1468,Hoxa2,MGI:96174
1469,Hoxb8,MGI:96189
1470,Ing1,MGI:1349481
1471,Jdp2,MGI:1932093
1472,Lhx4,MGI:101776
1473,Mafg,MGI:96911
1474,Mapk8ip1,MGI:1309464
1475,Msx3,MGI:106587
1476,Neurog1,MGI:107754
1477,Nfkb1,MGI:97312
1478,Ppp3cb,MGI:107163
1479,Rara,MGI:97856
1480,Scrt1,MGI:2176606
1481,Smad4,MGI:894293
1482,Tbx10,MGI:1261436
1483,Tcea2,MGI:107368
1484,Trp73,MGI:1336991
1485,Uhrf2,MGI:1923718
1486,Usf2,MGI:99961
1487,Zbtb20,MGI:1929213
1488,Zscan2,MGI:99176
1489,Zfp42,MGI:99187
1490,Zfp637,MGI:2448537
1491,Zkscan5,MGI:107533
1492,Fbxw7,MGI:1354695
1493,Foxh1,MGI:1347465
1494,Foxl1,MGI:1347469
1495,Gsx1,MGI:95842
1496,5730403B10Rik,MGI:1913876
1497,Prrc2b,MGI:1923304
1498,A430033K04,A430033K04
1499,E430018J23Rik,MGI:2141981
1500,Zfp868,MGI:2142546
1501,Zfp959,MGI:2385058
1502,Zfp759,MGI:2446280
1503,BC031441,BC031441
1504,Taf9b,MGI:3039562
1505,C80913,MGI:1342294
1506,LOC435366,LOC435366
1507,Arid3b,MGI:1930768
1508,Atoh8,MGI:1918343
1509,Bat2,Bat2
1510,Bcl11b,MGI:1929913
1511,Bloc1s1,MGI:1195276
1512,Brca1,MGI:104537
1513,Cdx1,MGI:88360
1514,Dnttip1,MGI:1923483
1515,Ets1,MGI:95455
1516,Fhl1,MGI:1298387
1517,Glis1,MGI:2386723
1518,Jmjd1c,MGI:1918614
1519,Ndc80,MGI:1914302
1520,1700029I01Rik,MGI:1917255
1521,2810047C21Rik1,MGI:1919966
1522,Zfp619,MGI:1917477
1523,Gm6710,MGI:3779623
1524,Mbtps2,MGI:2444506
1525,Mef2b,MGI:104526
1526,Morf4l1,MGI:1096551
1527,Myst1,MGI:1915023
1528,Myst2,MGI:2182799
1529,Nfatc2,MGI:102463
1530,Nfrkb,MGI:2442410
1531,Phc1,MGI:103248
1532,Psip1,MGI:2142116
1533,Rex2,MGI:1328322
1534,Rnf11,MGI:1352759
1535,Rnf138,MGI:1929211
1536,Rnf185,MGI:1922078
1537,Sbds,MGI:1913961
1538,Scml4,MGI:2446140
1539,Sfmbt1,MGI:1859609
1540,Zfp280d,MGI:2384583
1541,Grhl1,MGI:2182540
1542,Mlx,MGI:108398
1543,Zfp605,MGI:2444933
1544,Crtc1,MGI:2142523
1545,Crtc2,MGI:1921593
1546,Lbx1,MGI:104867
1547,Ppargc1b,MGI:2444934
1548,Litaf,MGI:1929512
1549,Lrrfip2,MGI:1918518
1550,Lztr1,MGI:1914113
1551,Mbtd1,MGI:2143977
1552,Dlx1,MGI:94901
1553,Crim1,MGI:1354756
1554,Nkx2-6,MGI:97351
1555,Kctd11,MGI:2448712
1556,Wnt5a,MGI:98958
1557,Adam12,MGI:105378
1558,Mbnl1,MGI:1928482
1559,Mbnl2,MGI:2145597
1560,Mbnl3,MGI:2444912
1561,Zfp667,MGI:2442757
1562,A630089N07Rik,MGI:2444323
1563,Cnot3,MGI:2385261
1564,Pax7,MGI:97491
1565,Adnp,MGI:1338758
1566,Frzb,MGI:892032
1567,Pcsk5,MGI:97515
1568,Cyp26c1,MGI:2679699
1569,Adh7,MGI:87926
1570,Cdkn2c,MGI:105388
1571,Zfp263,MGI:1921370
1572,Zfp709,MGI:2384299
1573,Xrcc6,MGI:95606
1574,1700020N01Rik,MGI:1914942
1575,Polr2f,MGI:1349393
1576,Mphosph8,MGI:1922589
1577,Zfp771,MGI:2442050
1578,Cdx2,MGI:88361
1579,L3mbtl2,MGI:2443584
1580,Msl3l2,MGI:1920640
1581,Fzd9,MGI:1313278
1582,S1pr2,MGI:99569
1583,Peg10,MGI:2157785
1584,Set,MGI:1860267
1585,Lpar1,MGI:108429
1586,Lpar2,MGI:1858422
1587,Gna13,MGI:95768
1588,Foxl2,MGI:1349428
1589,Rhob,MGI:107949
1590,Dusp6,MGI:1914853
1591,Sulf1,MGI:2138563
1592,Cdh11,MGI:99217
1593,Crabp1,MGI:88490
1594,Daam2,MGI:1923691
1595,Il17rd,MGI:2159727
1596,Shfm1,MGI:109238
1597,Spry2,MGI:1345138
1598,Popdc2,MGI:1930150
1599,Hira,MGI:99430
1600,Inhba,MGI:96570
1601,Chrdl1,MGI:1933172
1602,Fzd2,MGI:1888513
1603,Dkk1,MGI:1329040
1604,Chst15,MGI:1924840
1605,Hgf,MGI:96079
1606,Dmpk,MGI:94906
1607,Bhlhe41,MGI:1930704
1608,Foxi3,MGI:3511278
1609,Kitl,MGI:96974
1610,Twsg1,MGI:2137520
1611,Ptk7,MGI:1918711
1612,Igdcc3,MGI:1202390
1613,Prkd1,MGI:99879
1614,Ufd1l,MGI:109353
1615,Msc,MGI:1333884
1616,Bmper,MGI:1920480
1617,Pcdh19,MGI:2685563
1618,S1pr3,MGI:1339365
1619,Wnt11,MGI:101948
1620,Nkx3-2,MGI:108015
1621,Ptges3,MGI:1929282
1622,Cradd,MGI:1336168
1623,Runx3,MGI:102672
1624,Dnm3os,MGI:3052332
1625,Dync1i2,MGI:107750
1626,Efna3,MGI:106644
1627,Lpar4,MGI:1925384
1628,Fbln1,MGI:95487
1629,Fzd3,MGI:108476
1630,Lypd1,MGI:1919835
1631,Adra2a,MGI:87934
1632,Dgcr8,MGI:2151114
1633,Mapk7,MGI:1346347
1634,Fscn1,MGI:1352745
1635,Ptch2,MGI:1095405
1636,Ephb3,MGI:104770
1637,Foxd2,MGI:1347471
1638,Magel2,MGI:1351648
1639,Tcof1,MGI:892003
1640,Mtrr,MGI:1891037
1641,Grb10,MGI:103232
1642,Crlf1,MGI:1340030
1643,Fam101b,MGI:1923816
1644,Nsa2,MGI:1913883
1645,Arhgef16,MGI:2446219
1646,Hnrnpu,MGI:1858195
1647,Nnat,MGI:104716
1648,Sfn,MGI:1891831
1649,Slc39a5,MGI:1919336
1650,Ttll6,MGI:2683461
1651,Ywhae,MGI:894689
1652,Emb,MGI:95321
1653,Sgk1,MGI:1340062
1654,Maml3,MGI:2389461
1655,Mll3,MGI:2444959
1656,Mrpl40,MGI:1332635
1657,Acvr1b,MGI:1338944
1658,Dnd1,MGI:2447763
1659,Fjx1,MGI:1341907
1660,Hipk2,MGI:1314872
1661,Frs2,MGI:1100860
1662,Rttn,MGI:2179288
1663,Hoxb3,MGI:96184
1664,Aplnr,MGI:1346086
1665,1110012J17Rik,MGI:1915867
1666,Krt15,MGI:96689
1667,Chst11,MGI:1927166
1668,Arid5b,MGI:2175912
1669,Kit,MGI:96677
1670,Slit2,MGI:1315205
1671,Slit3,MGI:1315202
1672,Arnt2,MGI:107188
1673,Tgif1,MGI:1194497
1674,Tmem100,MGI:1915138
1675,Pdgfc,MGI:1859631
1676,Nodal,MGI:97359
1677,Casr,MGI:1351351
1678,Shisa2,MGI:2444716
1679,Daam1,MGI:1914596
1680,Fgf3,MGI:95517
1681,Epha4,MGI:98277
1682,Cyp1b1,MGI:88590
1683,Dach1,MGI:1277991
1684,Fgf10,MGI:1099809
1685,Ston1,MGI:1924307
1686,Taf8,MGI:1926879
1687,Zfp94,MGI:107610
1688,Ctgf,MGI:95537
1689,Wnt5b,MGI:98959
1690,Gad1,MGI:95632
1691,Ptprb,MGI:97809
1692,Igsf8,MGI:2154090
1693,Tagln,MGI:106012
1694,Epha2,MGI:95278
1695,Mpzl2,MGI:1289160
1696,Tbx1,MGI:98493
1697,Ccl21b,MGI:1349182
1698,Ccl21a,MGI:1349183
1699,Ccl21c,MGI:1891386
1700,Eya1,MGI:109344
1701,Foxn1,MGI:102949
1702,Lrrtm1,MGI:2389173
1703,Serpinb1b,MGI:2445361
1704,Bub1,MGI:1100510
1705,Ace,MGI:87874
1706,Bbs9,MGI:2442833
1707,4930455F23Rik,MGI:1922145
1708,BC027231,MGI:2384836
1709,Erbb3,MGI:95411
1710,Adrbk1,MGI:87940
1711,Hoxa3,MGI:96175
1712,Ttr,MGI:98865
1713,Ezr,MGI:98931
1714,Gprin1,MGI:1349455
1715,Krt8,MGI:96705
1716,Folr1,MGI:95568
1717,Tctn2,MGI:1915228
1718,Nme7,MGI:2449121
1719,Kif2c,MGI:1921054
1720,Isca1,MGI:1916296
1721,Pomgnt1,MGI:1915523
1722,Ctso,MGI:2139628
1723,4932418E24Rik,MGI:3045295
1724,Efcab1,MGI:1914043
1725,Slco1c1,MGI:1889679
1726,Ttc21a,MGI:1921302
1727,Capsl,MGI:1922818
1728,Ppfibp2,MGI:894649
1729,Gadd45g,MGI:1346325
1730,Rnaseh2b,MGI:1914403
1731,1500015O10Rik,MGI:1926146
1732,1700027A23Rik,MGI:1923670
1733,Slc16a12,MGI:2147716
1734,Ccdc114,MGI:2446120
1735,Vwa3a,MGI:3041229
1736,Kcne2,MGI:1891123
1737,Ngfr,MGI:97323
1738,Iffo2,MGI:2140675
1739,Ednrb,MGI:102720
1740,Wdr31,MGI:1918604
1741,Lims1,MGI:1195263
1742,Fastkd5,MGI:2139469
1743,Cetn3,MGI:1097706
1744,Rilpl1,MGI:1922945
